text,stress_level,timestamp,source,author,context,location,cleaned_text,tokens,vader_scores,stress_keywords_found
"Things are somewhat pressured with my living situation, but not too bad.",high,,,,,,things are somewhat pressured with my living situation but not too bad,"['thing', 'somewhat', 'pressured', 'living', 'situation', 'bad']","{'neg': 0.086, 'neu': 0.663, 'pos': 0.25, 'compound': 0.5379}","{'high': 0, 'medium': 0, 'low': 0}"
This exhaustion is destroying me. I feel like I'm losing control.,low,,,,,,this exhaustion is destroying me i feel like im losing control,"['exhaustion', 'destroying', 'feel', 'like', 'im', 'losing', 'control']","{'neg': 0.506, 'neu': 0.349, 'pos': 0.145, 'compound': -0.7351}","{'high': 0, 'medium': 0, 'low': 0}"
I can't handle the anxiety from relationships anymore. I'm completely burnt out.,high,2024-07-02 12:07:14.008999,social_media,Jessica Lewis,academic,transit,i cant handle the anxiety from relationships anymore im completely burnt out,"['cant', 'handle', 'anxiety', 'relationship', 'anymore', 'im', 'completely', 'burnt']","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.1326}","{'high': 1, 'medium': 0, 'low': 0}"
Everything about my boss is making me feel irritated. I'm constantly on edge.,low,,,,,,everything about my boss is making me feel irritated im constantly on edge,"['everything', 'bos', 'making', 'feel', 'irritated', 'im', 'constantly', 'edge']","{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.4588}","{'high': 0, 'medium': 0, 'low': 0}"
I'm feeling content today. Maintaining a good perspective.,high,,,,,,im feeling content today maintaining a good perspective,"['im', 'feeling', 'content', 'today', 'maintaining', 'good', 'perspective']","{'neg': 0.0, 'neu': 0.532, 'pos': 0.468, 'compound': 0.5267}","{'high': 0, 'medium': 0, 'low': 0}"
The burden from exams is unbearable. I'm at my breaking point.,high,2025-03-26 12:06:17.113723,email,Susan Clark,health,gym,the burden from exams is unbearable im at my breaking point,"['burden', 'exam', 'unbearable', 'im', 'breaking', 'point']","{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}","{'high': 1, 'medium': 1, 'low': 0}"
Had a calm day at the gym. Focusing on the positive.,low,,,,,,had a calm day at the gym focusing on the positive,"['calm', 'day', 'gym', 'focusing', 'positive']","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.7096}","{'high': 0, 'medium': 0, 'low': 1}"
I'm dealing with some fearful issues with work.,low,2025-02-20 12:07:14.008999,text_message,Margaret Wilson,family,school,im dealing with some fearful issues with work,"['im', 'dealing', 'fearful', 'issue', 'work']","{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}","{'high': 0, 'medium': 0, 'low': 0}"
I can't handle the frustration from exams anymore. I can't see an end to this.,high,2024-04-09 12:06:17.113723,forum,Lisa Thomas,family,office,i cant handle the frustration from exams anymore i cant see an end to this,"['cant', 'handle', 'frustration', 'exam', 'anymore', 'cant', 'see', 'end']","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.3724}","{'high': 0, 'medium': 0, 'low': 0}"
I'm dealing with some fearful issues with my studies.,low,,,,,,im dealing with some fearful issues with my studies,"['im', 'dealing', 'fearful', 'issue', 'study']","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4939}","{'high': 0, 'medium': 0, 'low': 0}"
"Some overwhelmed situations at the store, but I'll get through it.",high,,,,,,some overwhelmed situations at the store but ill get through it,"['overwhelmed', 'situation', 'store', 'ill', 'get']","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.0258}","{'high': 1, 'medium': 0, 'low': 0}"
"Feeling a bit apprehensive about my colleagues, but managing.",low,,,,,,feeling a bit apprehensive about my colleagues but managing,"['feeling', 'bit', 'apprehensive', 'colleague', 'managing']","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.0644}","{'high': 0, 'medium': 0, 'low': 1}"
Taking time to a good workout has made me feel relaxed.,low,2024-05-27 12:07:14.008999,social_media,Thomas Clark,work,home,taking time to a good workout has made me feel relaxed,"['taking', 'time', 'good', 'workout', 'made', 'feel', 'relaxed']","{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.7269}","{'high': 0, 'medium': 0, 'low': 1}"
Just finished listening to music and feeling calm.,low,,,,,,just finished listening to music and feeling calm,"['finished', 'listening', 'music', 'feeling', 'calm']","{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.4215}","{'high': 0, 'medium': 0, 'low': 1}"
"Some apprehensive situations at the office, but I'll get through it.",medium,2025-01-31 12:07:14.008999,text_message,Susan Thomas,relationship,school,some apprehensive situations at the office but ill get through it,"['apprehensive', 'situation', 'office', 'ill', 'get']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'high': 0, 'medium': 0, 'low': 0}"
"Things are somewhat distressed with health concerns, but not too bad.",high,2024-04-01 12:06:17.113723,survey,Elizabeth Martinez,academic,home,things are somewhat distressed with health concerns but not too bad,"['thing', 'somewhat', 'distressed', 'health', 'concern', 'bad']","{'neg': 0.121, 'neu': 0.619, 'pos': 0.26, 'compound': 0.4627}","{'high': 0, 'medium': 0, 'low': 0}"
I can't handle the unease from school anymore. My anxiety is through the roof.,high,,,,,,i cant handle the unease from school anymore my anxiety is through the roof,"['cant', 'handle', 'unease', 'school', 'anymore', 'anxiety', 'roof']","{'neg': 0.114, 'neu': 0.735, 'pos': 0.151, 'compound': 0.1426}","{'high': 1, 'medium': 0, 'low': 0}"
"Some irritated situations at the meeting, but I'll get through it.",medium,,,,,,some irritated situations at the meeting but ill get through it,"['irritated', 'situation', 'meeting', 'ill', 'get']","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.25}","{'high': 0, 'medium': 0, 'low': 0}"
"My morning has been frustrated, but I'm handling it.",medium,2024-06-14 12:06:17.111704,social_media,Michael Anderson,family,home,my morning has been frustrated but im handling it,"['morning', 'frustrated', 'im', 'handling']","{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}","{'high': 0, 'medium': 0, 'low': 1}"
Everything seems pleasant right now. Nothing to worry about.,high,,,,,,everything seems pleasant right now nothing to worry about,"['everything', 'seems', 'pleasant', 'right', 'nothing', 'worry']","{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6914}","{'high': 0, 'medium': 0, 'low': 0}"
"Feeling a bit uneasy about health concerns, but managing.",medium,,,,,,feeling a bit uneasy about health concerns but managing,"['feeling', 'bit', 'uneasy', 'health', 'concern', 'managing']","{'neg': 0.199, 'neu': 0.663, 'pos': 0.138, 'compound': -0.1406}","{'high': 0, 'medium': 0, 'low': 1}"
Just finished watching a good movie and feeling positive.,high,2024-11-03 12:06:17.113723,chat,William Miller,relationship,transit,just finished watching a good movie and feeling positive,"['finished', 'watching', 'good', 'movie', 'feeling', 'positive']","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7906}","{'high': 0, 'medium': 0, 'low': 0}"
This distress is destroying me. I'm completely burnt out.,low,,,,,,this distress is destroying me im completely burnt out,"['distress', 'destroying', 'im', 'completely', 'burnt']","{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.7906}","{'high': 0, 'medium': 0, 'low': 0}"
I've been enjoying myself all day and it's been happy.,high,2024-05-04 12:06:17.113723,survey,Margaret Garcia,family,school,ive been enjoying myself all day and its been happy,"['ive', 'enjoying', 'day', 'happy']","{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}","{'high': 0, 'medium': 0, 'low': 0}"
I feel absolutely irritated about everything related to my living situation.,low,,,,,,i feel absolutely irritated about everything related to my living situation,"['feel', 'absolutely', 'irritated', 'everything', 'related', 'living', 'situation']","{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5095}","{'high': 0, 'medium': 0, 'low': 0}"
"I'm a little overwhelmed about finances, but it's temporary.",medium,,,,,,im a little overwhelmed about finances but its temporary,"['im', 'little', 'overwhelmed', 'finance', 'temporary']","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.012}","{'high': 1, 'medium': 0, 'low': 1}"
Taking time to yoga has made me feel energized.,high,2024-09-24 12:07:14.008999,email,Susan Miller,family,office,taking time to yoga has made me feel energized,"['taking', 'time', 'yoga', 'made', 'feel', 'energized']","{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}","{'high': 0, 'medium': 0, 'low': 0}"
I'm at my breaking point with my responsibilities. I feel hopeless about the situation.,high,,,,,,im at my breaking point with my responsibilities i feel hopeless about the situation,"['im', 'breaking', 'point', 'responsibility', 'feel', 'hopeless', 'situation']","{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.4588}","{'high': 1, 'medium': 0, 'low': 0}"
"Things are somewhat agitated with the future, but not too bad.",high,,,,,,things are somewhat agitated with the future but not too bad,"['thing', 'somewhat', 'agitated', 'future', 'bad']","{'neg': 0.127, 'neu': 0.615, 'pos': 0.258, 'compound': 0.4444}","{'high': 0, 'medium': 0, 'low': 0}"
"I'm a little drained about my job, but it's temporary.",medium,,,,,,im a little drained about my job but its temporary,"['im', 'little', 'drained', 'job', 'temporary']","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.154}","{'high': 0, 'medium': 0, 'low': 1}"
"Feeling a bit uneasy about the news, but managing.",medium,,,,,,feeling a bit uneasy about the news but managing,"['feeling', 'bit', 'uneasy', 'news', 'managing']","{'neg': 0.199, 'neu': 0.663, 'pos': 0.138, 'compound': -0.1406}","{'high': 0, 'medium': 0, 'low': 1}"
I'm in a positive mood today. Feeling in control of things.,high,,,,,,im in a positive mood today feeling in control of things,"['im', 'positive', 'mood', 'today', 'feeling', 'control', 'thing']","{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.6249}","{'high': 0, 'medium': 0, 'low': 0}"
Just finished cooking a nice meal and feeling wonderful.,high,2024-10-18 12:06:17.113723,blog,Joseph Martinez,work,gym,just finished cooking a nice meal and feeling wonderful,"['finished', 'cooking', 'nice', 'meal', 'feeling', 'wonderful']","{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.7906}","{'high': 0, 'medium': 0, 'low': 0}"
I can't handle the strain from finances anymore. I can't focus on anything else.,medium,,,,,,i cant handle the strain from finances anymore i cant focus on anything else,"['cant', 'handle', 'strain', 'finance', 'anymore', 'cant', 'focus', 'anything', 'else']","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.0382}","{'high': 0, 'medium': 1, 'low': 0}"
Finding joy in simple pleasures. I feel energized about everything.,high,,,,,,finding joy in simple pleasures i feel energized about everything,"['finding', 'joy', 'simple', 'pleasure', 'feel', 'energized', 'everything']","{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.875}","{'high': 0, 'medium': 0, 'low': 0}"
"I'm a little overwhelmed about social media, but it's temporary.",medium,,,,,,im a little overwhelmed about social media but its temporary,"['im', 'little', 'overwhelmed', 'social', 'medium', 'temporary']","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.012}","{'high': 1, 'medium': 0, 'low': 1}"
Taking time to deep breathing exercises has made me feel joyful.,high,,,,,,taking time to deep breathing exercises has made me feel joyful,"['taking', 'time', 'deep', 'breathing', 'exercise', 'made', 'feel', 'joyful']","{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5994}","{'high': 0, 'medium': 0, 'low': 0}"
